mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Price
الرياض,شرق الرياض,حي اليرموك,جنوب,سكني,15,250,2750
المدينة المنورة,,حي البلقاء,3 شوارع,سكني أو تجاري,18,1000,58
الرياض,شرق الرياض,حي المعيزلة,شرق,سكني,40,2200,3000
الرياض,شمال الرياض,حي النرجس,شمال,,35,1260,3400
الرياض,شمال الرياض,حي بنبان,شمال,,15,760,700
الرياض,شمال الرياض,حي بنبان,شرق,,15,937,555
الزلفي,,حي قرطبة,شمال غربي,سكني,20,622,262
الرياض,شرق الرياض,حي الحمراء,شمال شرقي,تجاري,30,1050,3000
الرياض,شرق الرياض,حي الشرق,شمال,سكني,25,900,390
بريدة,,حي الرحاب,4 شوارع,تجاري,20,1125,580
جدة,شمال جدة,حي الفلاح,جنوب شرقي,سكني,15,625,1440
الرياض,شرق الرياض,حي الشرق,شرق,,30,750,250
الزلفي,,حي الروضة,شمال غربي,سكني أو تجاري,15,3000,116
الرياض,جنوب الرياض,حي السلي,3 شوارع,سكني أو تجاري,30,10500,1000
رابغ,,حي الصليب الغربي,شرق,سكني,15,724,303
رابغ,,حي الصبوح,جنوب,سكني,20,851,235
الزلفي,,حي الصناعية,جنوب,سكني,30,600,166
الخبر,,حي اللؤلؤ,شرق,سكني,20,437,915
المجمعة,,حي الاندلس,شمال,سكني أو تجاري,40,600,1400
الرياض,شمال الرياض,حي بنبان,شمال,,15,375,733
الرياض,شرق الرياض,حي الجنادرية,شرق,,15,437,1400
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,20,404,745
الدرعية,,حي شمال الدرعية,جنوب,سكني,18,750,4000
الرياض,شرق الرياض,حي الشرق,شرق,,20,900,388
جدة,شمال جدة,حي الرياض,شرق,سكني,32,625,940
الهفوف,,حي جنوب الهفوف,غرب,سكني,15,442,814
الخبر,,حي العقيق,شمال شرقي,,20,861,1045
الخبر,,حي الامواج,شمال غربي,سكني,40,900,1100
الرياض,شرق الرياض,حي النهضة,3 شوارع,سكني,20,1800,2200
الرياض,شمال الرياض,حي حطين,شمال,سكني,16,364,4500
الرياض,شرق الرياض,حي الرمال,شمال غربي,سكني,20,288,1850
الرياض,شرق الرياض,حي النهضة,غرب,سكني,10,388,1800
الرياض,شرق الرياض,حي الرمال,شمال شرقي,سكني,20,400,1900
الرياض,شمال الرياض,حي الملقا,شرق,سكني,60,1000,4200
المدينة المنورة,,حي الروابي,جنوب,سكني,25,800,1250
الرياض,شرق الرياض,حي الازدهار,شمال,سكني,20,900,3200
الرياض,غرب الرياض,حي المهدية,جنوب,سكني أو تجاري,35,400,1400
جدة,شمال جدة,حي اللؤلؤ,شمال شرقي,,25,625,2000
جدة,شمال جدة,حي الزمرد,شرق,سكني,16,450,888
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15,1200,2600
الرياض,شمال الرياض,حي بنبان,شمال شرقي,سكني,15,875,857
الرياض,غرب الرياض,حي ظهرة لبن,جنوب شرقي,سكني,10,900,1800
الرياض,شمال الرياض,حي النرجس,شمال,سكني,20,750,3000
الرياض,غرب الرياض,حي المهدية,شمال,تجاري,40,450,2500
الرياض,شمال الرياض,حي المرسلات,جنوب,سكني,20,1768,3000
الرياض,شرق الرياض,حي السعادة,جنوب غربي,سكني أو تجاري,35,736,3200
الدرعية,,حي الخالدية,شمال شرقي,سكني,20,14250,3000
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,25,1025,2800
الرياض,شمال الرياض,حي الربيع,شمال شرقي,سكني,20,510,4200
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,15,500,3500
جدة,شمال جدة,حي الزمرد,شمال,تجاري,53,900,1388
الخبر,,حي التحلية,جنوب شرقي,,20,351,1566
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15,446,4000
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15,720,2900
الرياض,غرب الرياض,حي المهدية,شمال شرقي,تجاري,40,900,1450
الرياض,غرب الرياض,حي العريجاء الغربية,شمال,سكني أو تجاري,40,800,1500
الرياض,غرب الرياض,حي ظهرة لبن,جنوب,سكني,20,450,1850
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15,2400,3000
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15,2400,2900
الرياض,شمال الرياض,حي القيروان,شمال شرقي,سكني أو تجاري,30,1535,3100
الرياض,شمال الرياض,حي المروج,شرق,سكني أو تجاري,30,875,3700
الرياض,شمال الرياض,حي بنبان,جنوب غربي,سكني,15,805,434
الرياض,شمال الرياض,حي الملقا,غرب,,20,900,4250
الرياض,شرق الرياض,حي اليرموك,غرب,سكني أو تجاري,36,1500,2300
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20,900,3000
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25,783,4000
الرياض,شمال الرياض,حي بنبان,شرق,,20,390,800
الدمام,,حي طيبة,جنوب,سكني,40,525,1600
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,450,3400
الرياض,شمال الرياض,حي الملقا,شمال,تجاري,36,2428,4000
الرياض,شمال الرياض,حي النخيل,شرق,سكني,12,600,4600
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25,1237,4300
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20,525,2700
الدمام,,حي بدر,شمال,تجاري,15,1695,4719
الرياض,شمال الرياض,حي النخيل,شرق,سكني,20,841,4000
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15,391,4400
الرياض,شمال الرياض,حي الياسمين,جنوب شرقي,,15,1320,3350
الدمام,,حي الفرسان,شرق,,15,500,800
جدة,شمال جدة,حي البساتين,جنوب,سكني,15,598,3344
مكة المكرمة,,حي الراشدية,غرب,سكني,20,600,250
الخبر,,حي العقيق,غرب,سكني,40,437,800
الرياض,شرق الرياض,حي الروابي,جنوب,سكني,15,485,3000
بريدة,,حي الرحاب,شرق,سكني,15,350,985
الرياض,شمال الرياض,حي بنبان,شرق,سكني,20,960,950
الرياض,جنوب الرياض,حي المصانع,جنوب,,40,2416,2500
الرياض,شمال الرياض,حي الوادي,شمال شرقي,سكني,15,608,3000
الرياض,شمال الرياض,حي حطين,شمال,,15,603,3800
جدة,شمال جدة,حي الامواج,شرق,سكني,16,625,1840
جدة,شمال جدة,حي اللؤلؤ,شمال,سكني,25,300,2333
الدرعية,,حي الخالدية,شرق,سكني,15,420,2450
الرياض,شمال الرياض,حي حطين,غرب,سكني,15,960,3900
الرياض,شرق الرياض,حي النهضة,شرق,سكني,20,840,2000
الرياض,شمال الرياض,حي بنبان,جنوب,,20,1125,650
ثادق,,حي الديرة القديمة,3 شوارع,سكني,20,675,133
جدة,شمال جدة,حي الشراع,جنوب شرقي,سكني,16,600,2333
مكة المكرمة,,حي الشوقية,جنوب شرقي,سكني أو تجاري,15,404,4455
الرياض,غرب الرياض,حي ظهرة لبن,شمال,تجاري,40,1600,1500
الخبر,,حي الحمرا,شمال,سكني,20,1505,2800
ابها,,حي درة المنسك,شمال غربي,سكني أو تجاري,30,1700,1135
جدة,شمال جدة,حي الشراع,غرب,سكني,16,418,2392
الخبر,,حي الحمرا,شمال شرقي,سكني,20,1505,3000
جدة,شمال جدة,حي الرياض,شرق,سكني,32,875,971
الهفوف,,حي العزيزية,غرب,,15,400,750
الرياض,غرب الرياض,حي المهدية,شمال,سكني,15,450,1222
الرياض,شرق الرياض,حي الحمراء,جنوب,,20,1000,2700
الرياض,غرب الرياض,حي المهدية,غرب,سكني,20,750,2000
الرياض,شمال الرياض,حي المحمدية,شمال غربي,سكني,12,350,3500
الرياض,شمال الرياض,حي الربيع,شرق,سكني,12,567,3400
الرياض,شرق الرياض,حي النسيم الغربي,3 شوارع,,15,4050,1260
الرياض,شرق الرياض,حي اليرموك,غرب,سكني,15,700,2350
جدة,شمال جدة,حي الياقوت,شرق,سكني,25,525,2190
المزاحمية,,حي شخيب,3 شوارع,سكني,20,12000,350
الرياض,شرق الرياض,حي غرناطة,شرق,سكني,15,900,2700
الدرعية,,حي الدرعية الجديدة,غرب,سكني,15,375,2800
الرياض,شرق الرياض,حي المونسية,3 شوارع,سكني,20,9918,2000
الرياض,شرق الرياض,حي الروضة,شمال,سكني,15,304,3000
الرياض,شمال الرياض,حي النزهة,شمال,تجاري,30,762,4500
الرياض,شمال الرياض,حي المحمدية,غرب,سكني,12,552,4500
الرياض,غرب الرياض,حي ظهرة لبن,شمال غربي,سكني أو تجاري,40,1200,1
الهفوف,,حي الهدى,شرق,سكني,15,400,575
جدة,شمال جدة,حي الشراع,4 شوارع,سكني أو تجاري,25,12916,1936
الرياض,شرق الرياض,حي الشرق,جنوب,سكني,25,750,333
جدة,شمال جدة,حي الزمرد,شمال,سكني,32,900,1388
الرياض,شمال الرياض,حي الورود,شرق,سكني,12,560,3000
الرياض,شمال الرياض,حي الصحافة,شمال,سكني,12,262,3500
الخبر,,حي العقيق,جنوب,سكني,24,435,942
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,15,720,2900
الدرعية,,حي الدرعية الجديدة,غرب,سكني,15,2000,500
الرياض,شرق الرياض,حي القادسية,شمال,سكني,15,900,1111
الرياض,شرق الرياض,حي اليرموك,جنوب,سكني,20,625,2600
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,20,367,3900
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,262,3550
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,15,405,3200
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18,812,4000
الرياض,غرب الرياض,حي المهدية,جنوب,تجاري,35,400,1500
الرياض,شمال الرياض,حي العقيق,جنوب,تجاري,80,1800,8000
الرياض,شرق الرياض,حي النسيم الشرقي,جنوب,سكني,30,750,1500
الخبر,,حي اللؤلؤ,غرب,سكني,30,1000,850
الرس,,حي الحوطة,غرب,سكني,15,1200,250
الدرعية,,حي شمال الدرعية,3 شوارع,سكني,20,988,4200
الرياض,جنوب الرياض,حي عكاظ,شمال غربي,سكني,20,332,1300
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20,375,3300
الخبر,,حي التحلية,شرق,,15,357,1540
الرياض,غرب الرياض,حي طويق,3 شوارع,سكني,20,7900,1250
الرياض,غرب الرياض,حي ظهرة لبن,شرق,تجاري,30,400,1400
الرياض,شمال الرياض,حي المصيف,جنوب شرقي,تجاري,60,1925,6500
جدة,شمال جدة,حي السلامة,غرب,سكني,16,920,6000
الرياض,شرق الرياض,حي النظيم,شرق,تجاري,40,1200,2300
الرياض,شمال الرياض,حي الملقا,شرق,سكني,60,2000,3900
الرياض,شرق الرياض,حي الازدهار,غرب,سكني,20,299,3511
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,20,1125,3000
الرياض,شمال الرياض,حي الندى,غرب,سكني,15,8250,3400
الخبر,,حي اللؤلؤ,شمال غربي,سكني,20,880,965
الرياض,غرب الرياض,حي ضاحية نمار,جنوب شرقي,سكني,20,722,969
الرياض,شمال الرياض,حي العليا,شمال غربي,سكني,15,960,3125
الخبر,,حي التحلية,غرب,,20,1092,1150
جدة,شمال جدة,حي الشاطئ,غرب,سكني,30,2427,4500
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,1089,3800
الرياض,شمال الرياض,حي النخيل,4 شوارع,,20,3419,3800
الرياض,غرب الرياض,حي ضاحية نمار,شرق,سكني,20,973,719
جدة,شمال جدة,حي الامواج,3 شوارع,سكني,15,2250,2000
ثادق,,حي الديرة القديمة,جنوب,,15,1350,200
الخبر,,حي الحمرا,غرب,سكني,20,2061,1250
الرياض,شمال الرياض,حي الملقا,شمال,سكني,18,600,4100
الرياض,شرق الرياض,حي الخليج,غرب,تجاري,40,945,2400
الرياض,شمال الرياض,حي حطين,شمال غربي,,20,1707,4500
